Number_of_Vehicles,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Vehicle_Manoeuvre,1st_Point_of_Impact,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Damage
2,Roundabout,30,Daylight,Fine no high winds,Dry,Rural,Turning,Offside,Male,53,1595,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Overtaking,Front,Male,27,2000,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Female,48,2400,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,45,1124,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Female,23,1124,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Front,Male,45,1762,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,34,2319,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,33,1997,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Male,19,1896,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Male,36,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Overtaking,Nearside,Female,23,1108,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Female,19,1299,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,61,1296,Light
2,Single carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,19,1587,Light
2,Single carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Back,Male,42,2995,Light
2,Dual carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,24,1679,Light
2,Dual carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Female,36,1388,Light
2,Dual carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,33,1997,Light
2,Dual carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Male,59,1896,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Front,Male,25,1587,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,21,1149,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Male,62,1130,Severe
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,45,1590,Severe
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,37,1332,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,58,1495,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Reversing,Back,Female,25,1988,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Offside,Male,19,1600,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,61,1868,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,55,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Front,Male,20,1124,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,27,2148,Light
2,Single carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Parked,Offside,Female,27,1390,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Female,44,1598,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,26,1896,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,51,1769,Light
2,One way street,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,31,1995,Light
2,One way street,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,62,1590,Light
2,Single carriageway,30,Darkness lights lit,Raining and high winds,Wet or damp,Urban,Going ahead,Front,Male,23,1968,Light
2,Single carriageway,30,Darkness lights lit,Raining and high winds,Wet or damp,Urban,Going ahead,Front,Male,37,1896,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,83,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,19,1390,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Rural,Turning,Back,Male,25,1995,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Rural,Going ahead,Front,Male,37,11705,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Rural,Going ahead,Front,Female,23,1598,Light
2,Dual carriageway,50,Daylight,Fine no high winds,Wet or damp,Rural,Going ahead,Front,Female,23,1242,Light
2,Dual carriageway,50,Daylight,Fine no high winds,Wet or damp,Rural,Going ahead,Back,Female,34,2290,Light
2,Single carriageway,30,Daylight,Raining and high winds,Wet or damp,Urban,Waiting,Front,Male,35,1587,Light
2,Single carriageway,30,Daylight,Raining and high winds,Wet or damp,Urban,Waiting,Back,Female,50,1794,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Female,83,1396,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,59,1769,Severe
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Overtaking,Front,Male,23,1991,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,17,1587,Light
2,Dual carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Front,Female,18,1389,Light
2,Dual carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,56,1795,Light
2,Single carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,27,1595,Light
2,Single carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Offside,Male,27,2151,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Female,20,1390,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,31,1895,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,61,1242,Light
3,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Front,Male,24,1598,Light
3,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Back,Female,57,1753,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,23,1753,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Back,Female,65,1242,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,22,1994,Severe
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,18,1597,Severe
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,22,1994,Severe
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,32,1498,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,68,1396,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Male,56,1127,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,57,1596,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,20,1389,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Waiting,Back,Male,37,1781,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,19,1242,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Offside,Male,30,1389,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Female,42,1985,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Back,Male,19,1390,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Offside,Female,20,1242,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,49,1149,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,52,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,42,1986,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,41,1587,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,82,1596,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Parked,Back,Male,38,1995,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Parked,Back,Male,40,1596,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,27,1360,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,18,1299,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,44,1998,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,45,1896,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,38,1800,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,71,1339,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,43,2295,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,34,1390,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,60,8300,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Male,24,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,46,1364,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,86,1240,Light
2,Roundabout,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,18,1390,Light
2,Roundabout,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Nearside,Female,38,1968,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Female,53,1149,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,27,1598,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,20,1388,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Back,Male,33,1998,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Back,Female,38,1598,Light
2,Single carriageway,40,Darkness lights lit,Raining and high winds,Wet or damp,Rural,Going ahead,Front,Male,32,1149,Severe
2,Single carriageway,40,Darkness lights lit,Raining and high winds,Wet or damp,Rural,Going ahead,Front,Male,21,1299,Severe
4,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Parked,Back,Male,63,1998,Light
4,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Parked,Back,Female,31,1598,Light
4,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Nearside,Male,31,1769,Light
2,Dual carriageway,40,Daylight,Fine and high winds,Dry,Urban,Slowing or stopping,Back,Female,63,1242,Light
2,Dual carriageway,40,Daylight,Fine and high winds,Dry,Urban,Slowing or stopping,Front,Male,31,1388,Light
2,Single carriageway,20,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Back,Female,38,1596,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Female,26,1905,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,40,1988,Light
3,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,71,1360,Light
3,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,60,1910,Light
3,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,61,1332,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,37,1896,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,24,1489,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Back,Male,21,1149,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,43,1991,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Offside,Male,50,1998,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,27,1242,Light
2,Single carriageway,30,Darkness lights lit,Raining and high winds,Wet or damp,Urban,Going ahead,Front,Male,32,2000,Light
3,Dual carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,45,1389,Light
3,Dual carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Back,Female,26,1598,Light
3,Dual carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Back,Female,41,1396,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,32,1968,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Parked,Back,Female,40,1299,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,41,1497,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,57,1850,Severe
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Front,Female,69,1598,Severe
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Female,19,1596,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Parked,Offside,Male,53,3248,Light
2,Single carriageway,40,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,61,2188,Severe
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Female,65,1086,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,43,1781,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Female,32,1368,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Nearside,Male,22,1391,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,40,1396,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Front,Female,18,1242,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,28,1998,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Male,44,2496,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,34,1390,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,36,1390,Light
2,Single carriageway,30,Darkness lights lit,Fog or mist,Wet or damp,Urban,Turning,Front,Male,22,1242,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,37,1390,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Back,Male,40,2300,Light
3,Single carriageway,30,Darkness lights lit,Fog or mist,Frost or ice,Urban,Going ahead,Offside,Female,33,1527,Light
3,Single carriageway,30,Darkness lights lit,Fog or mist,Frost or ice,Urban,Parked,Offside,Female,27,1900,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,23,6700,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Changing lane,Nearside,Male,28,1781,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,35,3724,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,20,1868,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,50,6700,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,23,1299,Light
2,Dual carriageway,60,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Front,Female,18,1149,Light
2,Dual carriageway,60,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Waiting,Front,Female,44,1597,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,18,1242,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Male,40,1598,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,19,1299,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,30,1896,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Female,66,1799,Light
2,Roundabout,30,Daylight,Raining no high winds,Wet or damp,Urban,Changing lane,Offside,Female,42,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Female,30,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Reversing,Back,Male,35,1796,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Offside,Female,20,2616,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,18,1299,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Changing lane,Offside,Male,30,6174,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,27,1896,Light
3,Single carriageway,30,Darkness lights lit,Fine and high winds,Dry,Urban,Waiting,Back,Male,50,1397,Light
3,Single carriageway,30,Darkness lights lit,Fine and high winds,Dry,Urban,Waiting,Back,Female,35,1299,Light
3,Single carriageway,30,Darkness lights lit,Fine and high winds,Dry,Urban,Slowing or stopping,Front,Male,60,6370,Light
4,Single carriageway,60,Darkness lights lit,Fine no high winds,Dry,Rural,Going ahead,Front,Male,36,1796,Light
4,Single carriageway,60,Darkness lights lit,Fine no high winds,Dry,Rural,Slowing or stopping,Back,Female,41,1598,Light
4,Single carriageway,60,Darkness lights lit,Fine no high winds,Dry,Rural,Slowing or stopping,Front,Female,65,1360,Light
4,Single carriageway,60,Darkness lights lit,Fine no high winds,Dry,Rural,Going ahead,Front,Male,65,1997,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Reversing,Offside,Male,69,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Parked,Nearside,Female,19,1108,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Female,48,1998,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,34,1959,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,22,1242,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Back,Female,37,1584,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,30,1974,Light
3,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Back,Female,33,1896,Light
3,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Back,Female,53,1124,Light
