Number_of_Vehicles,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Vehicle_Manoeuvre,1st_Point_of_Impact,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Damage
2,Single carriageway,20,Daylight,Fine no high winds,Dry,Urban,Turning,Back,Male,46,2179,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,61,1998,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,22,1360,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Back,Male,35,2499,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Front,Female,17,1834,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,33,1796,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,27,1596,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Back,Female,52,1360,Light
2,Roundabout,40,Daylight,Fine no high winds,Dry,Urban,Waiting,Front,Male,32,1461,Light
2,Roundabout,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Male,36,1242,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,21,1998,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Back,Male,28,1796,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,17,1597,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Waiting,Front,Male,21,1199,Light
2,Roundabout,60,Daylight,Fine no high winds,Dry,Rural,Going ahead,Offside,Male,30,1242,Light
2,Single carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Offside,Female,32,1799,Light
2,Single carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,57,1390,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Front,Female,40,1587,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Waiting,Back,Male,28,1199,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Overtaking,Front,Female,29,1149,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,55,1995,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,25,1124,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Offside,Male,39,1896,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,23,1997,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,66,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,28,2000,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,26,1199,Light
2,One way street,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,31,1360,Light
2,One way street,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,26,1198,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Offside,Male,21,1998,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,58,2316,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Male,45,2148,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,30,1149,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Male,22,1796,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Front,Male,36,2664,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,26,2664,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,62,1998,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Nearside,Male,23,1396,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,21,1360,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Male,20,1998,Severe
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Front,Female,72,1870,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,28,1398,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,26,1370,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Offside,Male,32,1596,Light
